ID,MC,FSI,USE,STr,SI,SR,ST,LAD,SB,SP
89,9.44,9.56,10,8.33,10,7.78,1,7.22,10,5
90,7.22,6.44,7.78,2.22,7.78,2.59,0,4.44,2.78,2
91,9.44,9.11,9.26,4.44,9.26,7.04,1,7.22,7.78,5
92,7.78,7.33,7.78,2.78,8.52,4.07,0,5,5,3
93,6.67,4.67,6.3,2.78,4.07,3.33,0,4.44,2.22,2
94,7.78,8.22,7.78,2.22,4.07,3.33,0,3.89,5,2
95,9.44,9.56,10,6.11,10,7.78,1,7.22,10,5
96,9.44,9.56,10,6.67,10,7.78,1,7.78,10,5
97,8.89,8.67,9.26,5.56,10,4.81,1,6.11,10,5
98,10,8.67,9.26,8.89,10,3.33,1,7.22,10,5
99,7.78,6.44,7.78,2.78,7.78,2.59,0,5,2.78,2
100,5,3.78,7.78,2.78,4.07,5.56,0,3.89,2.78,2
101,4.44,4.22,7.04,3.89,7.78,2.59,0,5.56,2.78,2
102,4.44,3.78,7.04,2.78,7.78,4.07,0,3.89,2.78,2
103,6.67,6.44,7.78,3.89,4.07,3.33,0,5.56,2.78,2
104,4.44,2.89,6.3,2.22,4.07,4.81,0,4.44,2.22,2
105,3.33,1.56,5.56,1.67,4.07,4.07,0,2.22,2.22,2
106,8.33,6.44,7.78,2.78,8.52,3.33,0,5,2.78,2
107,8.89,9.11,10,6.11,10,8.52,1,6.11,10,5
108,6.67,7.33,7.78,3.33,8.52,4.81,0,5,5,3
109,5,3.78,3.33,3.89,4.81,4.07,0,7.78,2.22,2
110,4.44,6.89,7.04,3.33,8.52,4.07,0,5.56,4.44,2
111,4.44,4.22,4.07,2.78,8.52,3.33,0,5,2.22,2
112,6.67,6.44,7.04,2.78,4.07,3.33,0,5,2.22,2
113,8.33,2.89,6.3,2.22,7.78,3.33,0,3.33,2.78,2
114,3.89,2.44,6.3,2.78,4.07,2.59,0,5.56,2.78,2
115,5,8.22,8.52,3.89,4.07,4.07,0,6.67,5.56,3
116,4.44,2.44,6.3,2.78,4.07,2.59,0,3.89,2.78,2
117,6.11,5.56,8.52,3.89,7.78,4.07,0,7.22,3.33,2
118,8.89,9.11,9.26,4.44,8.52,4.81,0,6.67,5.56,3
119,8.89,6.89,8.52,3.89,8.52,4.81,0,7.22,3.33,3
120,8.89,6.44,8.52,2.78,7.78,6.3,1,5.56,5.56,4
